customer_id,industry,company_size,contract_length,tenure_months,seats_purchased,seats_active,seat_utilization,logins_last_30d,usage_trend_pct,support_tickets_last_90_days,payment_failures_last_12mo,nps_score,core_feature_adoption_rate,csm_assigned,churned,logins_per_active_seat,support_tickets_per_active_seat,predicted_churn_probability,predicted_churn,churn_risk_band
C00001,Tech,78,monthly,1,8,4,0.5,6,0.125,2,0,3.0,0.698,1,0,1.2,0.4,0.0850158579692393,0,Very Low
C00002,Tech,18,annual,26,10,7,0.7,6,-0.053,2,0,7.0,0.761,0,0,0.75,0.25,0.010639370659356521,0,Very Low
C00003,Healthcare,84,multi_year,10,15,9,0.6,11,0.065,1,0,6.0,0.608,0,0,1.1,0.1,0.015093739926432934,0,Very Low
C00004,Finance,51,annual,23,9,7,0.778,11,0.5,2,0,,0.789,0,0,1.375,0.25,0.0036619380145421015,0,Very Low
C00005,Retail,9,annual,10,6,3,0.5,4,-0.077,3,0,4.0,0.527,0,0,1.0,0.75,0.220840531036505,0,Low
C00006,Healthcare,22,multi_year,4,5,2,0.4,1,-0.4,0,0,,0.482,1,0,0.3333333333333333,0.0,0.05229303842835881,0,Very Low
C00007,Tech,8,annual,26,7,3,0.429,5,0.25,1,0,6.0,0.36,0,0,1.25,0.25,0.12491988234726842,0,Very Low
C00008,Healthcare,46,monthly,77,9,1,0.111,1,-0.4,2,0,2.0,0.267,0,1,0.5,1.0,0.7962222418577154,1,High
C00009,Other,133,annual,41,16,14,0.875,8,-0.172,1,0,8.0,0.857,1,0,0.5333333333333333,0.06666666666666667,0.0008046169951219541,0,Very Low
C00010,Manufacturing,81,annual,24,8,3,0.375,6,-0.182,1,0,5.0,0.441,0,1,1.5,0.25,0.23886308323209876,0,Low
C00011,Finance,11,monthly,23,8,7,0.875,3,-0.25,1,0,,0.551,0,0,0.375,0.125,0.043652906812123506,0,Very Low
C00012,Tech,11,monthly,1,8,2,0.25,3,0.0,0,0,,0.625,0,1,1.0,0.0,0.310758318499319,0,Low
C00013,Other,25,annual,13,9,8,0.889,12,0.286,0,0,9.0,0.495,0,0,1.3333333333333333,0.0,0.00418853905784756,0,Very Low
C00014,Manufacturing,26,annual,1,9,4,0.444,3,-0.25,2,0,4.0,0.415,0,1,0.6,0.4,0.3591009038563867,0,Low
C00015,Tech,67,monthly,19,14,4,0.286,5,0.071,3,0,,0.552,0,0,1.0,0.6,0.29888891086101976,0,Low
C00016,Finance,22,annual,23,7,4,0.571,2,-0.25,3,1,,0.448,0,0,0.4,0.6,0.3692332457089447,0,Low
C00017,Tech,100,monthly,5,14,10,0.714,5,-0.318,1,0,7.0,0.623,0,0,0.45454545454545453,0.09090909090909091,0.04876559111954538,0,Very Low
C00018,Tech,18,monthly,9,8,4,0.5,2,-0.25,2,0,4.0,0.486,0,1,0.4,0.4,0.36837373825242153,0,Low
C00019,Retail,92,annual,17,11,8,0.727,6,-0.1,1,0,6.0,0.776,0,0,0.6666666666666666,0.1111111111111111,0.00941096100286108,0,Very Low
C00020,Tech,7,multi_year,8,6,4,0.667,4,0.0,2,0,7.0,0.391,0,0,0.8,0.4,0.04774106726485272,0,Very Low
C00021,Manufacturing,17,monthly,14,8,7,0.875,7,-0.16,1,0,,0.657,0,0,0.875,0.125,0.03208659687662878,0,Very Low
C00022,Manufacturing,32,monthly,36,10,4,0.4,2,-0.25,4,1,5.0,0.582,0,1,0.4,0.8,0.6210162216351357,1,High
C00023,Retail,74,monthly,9,10,7,0.7,6,-0.28,3,0,5.0,0.588,0,0,0.75,0.375,0.11589133138631942,0,Very Low
C00024,Retail,54,monthly,14,13,3,0.231,5,-0.118,1,2,6.0,0.473,0,1,1.25,0.25,0.9445521297217777,1,Very High
C00025,,12,multi_year,9,6,4,0.667,3,-0.55,3,0,5.0,0.753,0,0,0.6,0.6,0.08540203759725369,0,Very Low
C00026,Tech,8,annual,19,5,3,0.6,3,0.286,0,0,,0.429,0,0,0.75,0.0,0.04024644874837932,0,Very Low
C00027,Finance,30,annual,1,6,4,0.667,6,0.8,1,0,,0.407,0,0,1.2,0.2,0.017443123894780678,0,Very Low
C00028,Finance,28,monthly,27,10,4,0.4,6,0.5,0,0,5.0,0.593,0,0,1.2,0.0,0.06876251340157244,0,Very Low
C00029,Tech,21,annual,50,6,4,0.667,6,0.385,4,0,7.0,0.507,0,0,1.2,0.8,0.013775666024376538,0,Very Low
C00030,Healthcare,30,monthly,5,10,4,0.4,5,0.154,3,0,6.0,0.547,0,0,1.0,0.6,0.14439899013537252,0,Very Low
C00031,Retail,8,annual,4,7,5,0.714,4,0.0,3,0,,0.724,0,1,0.6666666666666666,0.5,0.026790861112621484,0,Very Low
C00032,Manufacturing,53,annual,18,12,6,0.5,1,-0.667,1,0,6.0,0.435,0,1,0.14285714285714285,0.14285714285714285,0.21089273020579405,0,Low
C00033,Finance,88,annual,7,11,6,0.545,7,0.615,2,0,8.0,0.711,0,0,1.0,0.2857142857142857,0.00513706793493389,0,Very Low
C00034,Finance,12,annual,4,8,6,0.75,8,0.0,0,0,,0.638,1,0,1.1428571428571428,0.0,0.011851578272989991,0,Very Low
C00035,Healthcare,13,annual,32,4,2,0.5,3,0.0,0,0,3.0,0.417,0,0,1.0,0.0,0.11966810299684046,0,Very Low
C00036,Other,113,annual,25,9,8,0.889,4,-0.429,2,0,6.0,0.493,1,0,0.4444444444444444,0.2222222222222222,0.011513198592808686,0,Very Low
C00037,Other,96,annual,4,14,5,0.357,4,-0.333,0,0,3.0,0.669,0,0,0.6666666666666666,0.0,0.24799907148362968,0,Low
C00038,Retail,14,monthly,15,8,4,0.5,3,0.0,3,1,,0.417,0,0,0.6,0.6,0.6016477279039307,1,High
C00039,Tech,15,multi_year,1,8,3,0.375,4,-0.077,1,0,4.0,0.319,0,1,1.0,0.25,0.3847310828481355,1,Low
C00040,Manufacturing,5,annual,13,4,2,0.5,1,-0.4,2,0,2.0,0.446,0,1,0.3333333333333333,0.6666666666666666,0.4763667107914592,1,Medium
C00041,Tech,52,annual,2,7,4,0.571,1,-0.727,0,0,,0.696,0,0,0.2,0.0,0.08599440340832105,0,Very Low
C00042,Retail,38,annual,1,8,7,0.875,5,0.364,1,0,7.0,0.746,1,0,0.625,0.125,0.00112139932535664,0,Very Low
C00043,Tech,32,multi_year,1,7,3,0.429,2,-0.4,1,0,7.0,0.293,0,0,0.5,0.25,0.21764745814474754,0,Low
C00044,Retail,331,annual,47,16,12,0.75,10,0.034,0,1,,0.57,1,0,0.7692307692307693,0.0,0.017200946593800837,0,Very Low
C00045,Tech,26,annual,26,11,6,0.545,3,-0.526,0,0,3.0,0.552,0,0,0.42857142857142855,0.0,0.2084220308669183,0,Low
